sold_to_name,product_line,quantity,gross_profit,territory,date
Farmer Joe's - Fruitvale Ave.,DCD,1941.0,2006.37,EB,2017-01-01
"Seven Eleven-Redwood Hwy,M.V.",DCD,120.0,37.92,MR,2017-01-01
Nugget - #15 Corte Madera,DCD,144.0,32.85,MR,2017-01-01
Nugget - #15 Corte Madera,DCD,57.0,45.41,MR,2017-01-01
Nugget - #16 Novato,DCD,165.0,53.76,MR,2017-01-01
Nugget - #16 Novato,DCD,179.0,161.55,MR,2017-01-01
"Lucky - Grant Ave, Novato",PF,4.0,321.79200000000003,MR,2017-01-01
Safeway #1723-San Anselmo,PF,11.0,997.498,MR,2017-01-01
Seven Eleven-Sausalito,PF,80.0,52.48,MR,2017-01-01
Safeway #2318-Corte Madera,PF,9.0,1126.692,MR,2017-01-01
The Bait Shop Market & Deli,PF,34.0,21.38,MR,2017-01-01
The Bait Shop Market & Deli,DCD,153.0,74.09,MR,2017-01-01
"Safeway #2455-Center Blvd, SA",PF,0.0,30.662000000000003,MR,2017-01-01
Chevron - Strawberry,PF,76.0,43.77,MR,2017-01-01
Chevron - Strawberry,DCD,162.0,82.19,MR,2017-01-01
Seven Eleven-Sausalito,DCD,156.0,61.13,MR,2017-01-01
Safeway #2718-Mill Valley,PF,6.0,1326.6680000000001,MR,2017-01-01
"Seven Eleven-Redwood Hwy,M.V.",PF,56.0,36.26,MR,2017-01-01
College of Marin Bookstore,PF,0.0,28.716000000000005,MR,2017-01-01
United Liquors-Larkspur,PF,11.0,4.8,MR,2017-01-01
United Liquors-Larkspur,DCD,79.0,39.99,MR,2017-01-01
Jolly King Liquors,PF,28.0,16.61,MR,2017-01-01
Safeway #788-Mill Valley,PF,11.0,823.1379999999999,MR,2017-01-01
Jolly King Liquors,DCD,105.0,57.14,MR,2017-01-01
Woodland Gas,PF,19.0,11.16,MR,2017-01-01
Nugget - #14 Tiburon,DCD,113.0,124.11,MR,2017-01-01
Andronico's #7-San Anselmo,PF,1.0,93.736,MR,2017-01-01
Safeway #932 San Rafael,PF,7.0,1300.766,MR,2017-01-01
Smith Ranch Deli,PF,130.0,59.88,MR,2017-01-01
