Store,Address,City,State,Full Address,lat,lon
Berkeley Bowl,2020 Oregon St,Berkeley,California,"2020 Oregon St, Berkeley, California",37.857113,-122.2672497
Berkeley Bowl West,920 Heinz Avenue,Berkeley,California,"920 Heinz Avenue, Berkeley, California",37.8535336,-122.2903762
Diablo Foods-Lafeyette,3615 Mt Diablo Blvd,Lafayette,California,"3615 Mt Diablo Blvd, Lafayette, California",37.8906975,-122.1244815
Draeger's-Danville,291 Utah Ave.,South San Francisco,California,"291 Utah Ave., South San Francisco, California",37.6477383,-122.3948697
Encinal Market,3211 Encinal Ave.,Alameda,California,"3211 Encinal Ave., Alameda, California",37.7562902,-122.2336718
Farmer Joe's - Fruitvale Ave.,3420 Fruitvale Ave.,Oakland,California,"3420 Fruitvale Ave., Oakland, California",37.7994769,-122.2162274
Farmer Joe's - MacArthur Blvd,3501 MacArthur Blvd,Oakland,California,"3501 MacArthur Blvd, Oakland, California",37.7934425,-122.2007221
Gazzali's,7000 Bancroft Avenue,Oakland,California,"7000 Bancroft Avenue, Oakland, California",37.7679644,-122.1775485
Jules Thin Crust-Danville,820 Sycamore Valley Rd.,Danville,California,"820 Sycamore Valley Rd., Danville, California",37.8121227,-121.9984395
Jules Thin Crust-Oakland,5804 College Ave.,Oakland,California,"5804 College Ave., Oakland, California",37.8462971,-122.2516742
Lucca Deli,3121 Castro Valley Blvd.,Castro Valley,California,"3121 Castro Valley Blvd., Castro Valley, California",37.6952372,-122.0807308
Mi Tierra Foods,2082 San Pablo Ave.,Berkeley,California,"2082 San Pablo Ave., Berkeley, California",37.8679351,-122.2919492
Monterey Fish Mkt.,1582 Hopkins St.,Berkeley,California,"1582 Hopkins St., Berkeley, California",37.8816619,-122.281529
Monterey Foods Market,1550 Hopkins Street,Berkeley,California,"1550 Hopkins Street, Berkeley, California",37.8811334,-122.2822692
Point Richmond Mkt.,160 Washington Ave.,Richmond,California,"160 Washington Ave., Richmond, California",37.9265131,-122.3858634
Safeway #2870 - Oakland,6310 College Avenue,Oakland,California,"6310 College Avenue, Oakland, California",37.8507561,-122.2520065
Santa Fe Market,155 W. Richmond Ave.,Richmond,California,"155 W. Richmond Ave., Richmond, California",37.9261231,-122.3858851
Village Market - Oakland,5885 Broadway Terrace,Oakland,California,"5885 Broadway Terrace, Oakland, California",37.8408031,-122.2364509
Watergate Market,2390 Powell St.,Emeryville,California,"2390 Powell St., Emeryville, California",37.8376288,-122.3026905
Bodega Bay Oyster Company,12830 Valley Ford Rd.,Petaluma,California,"12830 Valley Ford Rd., Petaluma, California",38.3135992,-122.8759106
Diekmans Bay Store - Bodega,1275 Hwy. 1,Bodega Bay,California,"1275 Hwy. 1, Bodega Bay, California",38.3333826,-123.0483447
