,Store,Address,City,State
,(do not use) G & G Super-SR,1211 W. College Ave.,Santa Rosa,California
,(do not use)G & G Super-Ptown,1211 West College Avenue,Santa Rosa,California
,CGF / WILD CALIF,P.O. Box 9314,Santa Rosa,California
,Customer Sales,Dave Hyatt,,California
,Fugate Chevron-Marinwood,100 Marinwood Dr.,San Rafael,California
,Ralph's-Napa,3682 Bel Air Plaza,Napa,California
,Robbie Hermann,3 Greenside Way,San Rafael,California
,Sigona's Farmers Market,2345 Middlefield Rd.,Redwood City,California
,Berk Bowl E - Asian Dept,Asian Dept #4719-4,,California
,Berk Bowl W - Asian Dept,Asian Dept #4719-4,,California
,Berkeley Bowl,2020 Oregon St,Berkeley,California
,Berkeley Bowl West,920 Heinz Avenue,Berkeley,California
,Diablo Foods-Lafeyette,P.O. Box 1457,Lafayette,California
,Draeger's-Danville,291 Utah Ave.,South San Francisco,California
,Encinal Market,3211 Encinal Ave.,Alameda,California
,Farmer Joe's - Fruitvale Ave.,3420 Fruitvale Ave.,Oakland,California
,Farmer Joe's - MacArthur Blvd,3501 MacArthur Blvd,Oakland,California
,Gazzali's,7000 Bancroft Avenue,Oakland,California
,Jules Thin Crust-Danville,820 Sycamore Valley Rd.,Danville,California
,Jules Thin Crust-Oakland,5804 College Ave.,Oakland,California
,Lucca Deli,3121 Castro Valley Blvd.,Castro Valley,California
,Mi Tierra Foods,2082 San Pablo Ave.,Berkeley,California
,Monterey Fish Mkt.,1582 Hopkins St.,Berkeley,California
,Monterey Foods Market,1550 Hopkins Street,Berkeley,California
,Point Richmond Mkt.,160 Washington Ave.,Richmond,California
,Safeway #2870 - Oakland,6310 College Avenue,Oakland,California
,Santa Fe Market,155 W. Richmond Ave.,Richmond,California
,Village Market - Oakland,5885 Broadway Terrace,Oakland,California
,Watergate Market,2390 Powell St.,Emeryville,California
,Ray's Food Place Smith River,,Smith River,California
,Brunos Foods,355 Lakeport Blvd.,Lakeport,California
,Bruno's Smart Choice - C & K,355 Lakeport Blvd.,Lakeport,California
,CVS #9943 - Lakeport,949 11th St,Lakeport,California
,Foods Etc.,P.O. Box 7217,Clearlake,California
,Kmart-Lakeport,2019 S. Main St,Lakeport,California
,Safeway #983-Lakeport,1071 - 11th St.,Lakeport,California
,Safeway #984-Clearlake,14922 Olympic Drive,Clearlake,California
,Walmart- Clearlake,15950 Dam Road,Clearlake,California
,Bodega Bay Oyster Company,12830 Valley Ford Rd.,Petaluma,California
,Diekmans Bay Store - Bodega,1275 Hwy. 1,Bodega Bay,California
