ID,Store,Address,City,State
600,Berkeley Bowl,2020 Oregon St,Berkeley,California
608,Berkeley Bowl West,920 Heinz Avenue,Berkeley,California
685,Diablo Foods-Lafeyette,3615 Mt Diablo Blvd,Lafayette,California
637,Draeger's-Danville,291 Utah Ave.,South San Francisco,California
189,Encinal Market,3211 Encinal Ave.,Alameda,California
438,Farmer Joe's - Fruitvale Ave.,3420 Fruitvale Ave.,Oakland,California
429,Farmer Joe's - MacArthur Blvd,3501 MacArthur Blvd,Oakland,California
625,Gazzali's,7000 Bancroft Avenue,Oakland,California
415,Jules Thin Crust-Danville,820 Sycamore Valley Rd.,Danville,California
492,Jules Thin Crust-Oakland,5804 College Ave.,Oakland,California
202,Lucca Deli,3121 Castro Valley Blvd.,Castro Valley,California
435,Mi Tierra Foods,2082 San Pablo Ave.,Berkeley,California
63,Monterey Fish Mkt.,1582 Hopkins St.,Berkeley,California
26,Monterey Foods Market,1550 Hopkins Street,Berkeley,California
737,Point Richmond Mkt.,160 Washington Ave.,Richmond,California
2870,Safeway #2870 - Oakland,6310 College Avenue,Oakland,California
729,Santa Fe Market,155 W. Richmond Ave.,Richmond,California
768,Village Market - Oakland,5885 Broadway Terrace,Oakland,California
3102,Watergate Market,2390 Powell St.,Emeryville,California
790,Bodega Bay Oyster Company,12830 Valley Ford Rd.,Petaluma,California
373,Diekmans Bay Store - Bodega,1275 Hwy. 1,Bodega Bay,California
393,Fisherman's Cove,1850 Bay Flat Rd.,Bodega Bay,California
6315,Fishetarian Fish Market,599 CA-1,Bodega Bay,California
42,Fort Ross Store,20705 Coast Hwy. #1,Jenner,California
275,Gualala Super Market,39225 CA-1,Gualala,California
339,Jenner Store,10444 Hwy 1,Jenner,California
143,Ocean Cove Store,23125 Hwy. 1,Jenner,California
1379,Pelican Plaza #2,1400 Hwy. 1,Bodega Bay,California
372,Pelican Plaza Grocery & Deli,1400 Hwy. 1,Bodega Bay,California
151,Surf Super,39250 CA-1,Gualala,California
325,The Tides Bait & Tackle,P.O. Box 518,Bodega Bay,California
324,The Tides Unocal,P.O. Box 518,Bodega Bay,California
111,Valley Ford Market,14400 Hwy 1,Valley Ford,California
6367,76/Circle K - Tiburon,250 Tiburon Blvd.,Belvedere Tiburon,California
343,Alcos Colonial Liquor #1,212 Tamalpais Dr.,Corte Madera,California
814,Alcos Colonial Liquor #2,212 Tamalpais Dr.,Corte Madera,California
807,Andronico's #7-San Anselmo,100 Center Blvd.,San Anselmo,California
771,Andy's Corte Madera Mkt.,195 Tamal Vista Blvd,Corte Madera,California
641,Andy's Local Mkt - San Rafael,75 Loch Lomond Drive,San Rafael,California
643,Andy's Sun Valley - San Rafael,2202 Fifth Ave,San Rafael,California
779,Beth's,3060 Kerner Blvd.,San Rafael,California
172,Bolinas Ave Market,4 Bolinas Ave,San Anselmo,California
226,Bolinas Super Market,40 Wharf Road,Bolinas,California
216,Cardenas Market,330 Bellam Blvd.,San Rafael,California
116,Central Deli/Hse of Bagels,640 Fourth Street,San Rafael,California
6372,Chevron - Strawberry,580 Redwood Hwy,Strawberry,California
1384,College of Marin Bookstore,841 College Ave.,Kentfield,California
225,Cowgirl Creamery,2080 Lakeville Highway,Petaluma,California
9219,CVS #9219 - Greenbrae,330 Bon Air Shopping Center,Greenbrae,California
9316,"CVS #9316 - Grant Ave, Nov.",1707 Grant Ave.,Novato,California
9370,CVS #9370 - San Anselmo,880 Sir Francis Drake Blvd.,San Anselmo,California
